"ID","Nome","Etiqueta","Proprietário","Pessoas","Negócios em aberto","Organização criada","Atualizado em","Visível para","Próxima atividade em","Data da última atividade","Negócios ganhos","Negócios perdidos","Negócios fechados","Total de atividades","Atividades concluídas","Atividades para fazer","Número de mensagens de e-mail","Foto de perfil","Endereço","Latitude de Endereço","Longitude de Endereço","Nº de apartamento de Endereço","Número da casa de Endereço","Nome da rua de Endereço","Distrito/sub-localidade de Endereço","Cidade/município/vila/localidade de Endereço","Estado de Endereço","Região de Endereço","País de Endereço","CEP/Código postal de Endereço","Endereço completo/combinado de Endereço","Etiquetas","[IC] Linkedin (Company Page)","CNPJ"
"1","[Exemplo] Lorean","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"2","[Exemplo] Phyllis & Cie","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"3","[Exemplo] MoveEr","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"4","[Exemplo] iTable","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"5","[Exemplo] EmpowerMove","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"6","[Exemplo] Almeiro","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"7","[Exemplo] Pargadella Cars","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"8","[Exemplo] Ferraro","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"9","[Exemplo] VenusPower","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"10","[Exemplo] Ola!","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
